job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type
DQsKWlokQDQ-2,thefieldsketcher,chunk_01c\alexjones.tv\DQsKWlokQDQ-2.mp4,"The establishment's worst nightmare? A voice they can't silence. While they scheme to lock him up, @alexjones.tv continues breaking down the replacement migration agenda they desperately want buried. November 5th, 2025 - the truth hits different when they're trying to cage the messenger.

#infowars #trumpwon #maganews",success,0,2025-12-13T12:48:17.099793,2025-12-13T12:54:00.557966,,,,,
DP6-JuwEd2O-1,thebaysideduke,chunk_01c\alexjones.tv\DP6-JuwEd2O-1.mp4,"Political analyst Alex Jones examines the escalating tensions between Democratic leadership and the MAGA movement in this compelling breakdown. According to Jones, desperate tactics are being deployed that could push the nation toward unprecedented internal conflict. @alexjones.tv delivers his unfiltered perspective on where this dangerous path might lead.

#infowars #trumpwon #maganews",success,3,,2025-12-13T15:55:30.182784,,0,,,
DQuphmpEYLv-1,thebackroadman,chunk_01c\alexjones.tv\DQuphmpEYLv-1.mp4,"A chilling forecast from the front lines of information warfare – while others debate economic policy, Alex Jones (@alexjones.tv) is sounding the alarm on something far more sinister. His latest warning connects the dots between financial collapse and digital tyranny, revealing how globalist architects might exploit the next depression as cover for implementing an AI-powered surveillance grid. This isn't just about market crashes – it's about the infrastructure of control being built in plain sight.

#infowars #trumpwon #maganews",success,3,2025-12-13T12:49:51.399152,2025-12-13T12:53:08.891920,,,,,
DQpjRUZkX2Z-1,stone_mason_live,chunk_01c\alexjones.tv\DQpjRUZkX2Z-1.mp4,"The battle for America's major cities is heating up, and Alex Jones (@alexjones.tv) isn't holding back on what he's witnessing unfold in places like New York. This November 4th commentary cuts straight to the point about radical Islamist movements and their growing influence across urban America.

#infowars #trumpwon #maganews",success,2,2025-12-13T20:53:49.585438,2025-12-13T20:59:48.705512,,0,,,
DRiU7wwkfHO-1,sovereignclaw,chunk_01c\alexjones.tv\DRiU7wwkfHO-1.mp4,"The Deep State's days are numbered according to @alexjones.tv, who breaks down why Trump and America have reached their breaking point with John Brennan - 11/26/25

#infowars #trumpwon #maganews",success,1,2025-12-13T12:52:34.717551,2025-12-13T12:55:51.247542,,,,,
DRfqnSCkYeG-2,silverscribewindow,chunk_01c\alexjones.tv\DRfqnSCkYeG-2.mp4,"The deep state's civil war blueprint just got exposed by Alex Jones, and he's calling on Trump to take immediate action against the architects. @alexjones.tv breaks down the Podesta plan that has everyone talking this November 25th. 

#infowars #trumpwon #maganews",success,4,2025-12-13T12:52:37.326779,2025-12-13T12:56:50.180692,,,,,
DRQMs_YETf9-2,seegloryvault,chunk_01c\alexjones.tv\DRQMs_YETf9-2.mp4,"The CIA's loyalty to Maduro just got called out in brutal fashion by @alexjones.tv – and the timing couldn't be more suspect as Trump ramps up pressure on the Venezuelan regime.

#infowars #trumpwon #maganews",success,3,2025-12-13T12:53:19.006623,2025-12-13T13:00:55.989426,,,,,
DRVP8nGEUxg-1,primejuggernaut,chunk_01c\alexjones.tv\DRVP8nGEUxg-1.mp4,"The investigation into Democratic calls for rebellion is underway, with Trump's military courts and Hegseth leading the charge according to @alexjones.tv's latest breakdown from 11/21/25. He's connecting dots that mainstream media won't touch.

#infowars #trumpwon #maganews",failed,4,2025-12-13T21:10:56.751008,2025-12-13T21:13:08.134403,Post returned False,3,,,
DRlqUvpkfUt-2,orbmasterstrike,chunk_01c\alexjones.tv\DRlqUvpkfUt-2.mp4,"Bill Gates could be planning round two, and Alex Jones from @alexjones.tv says Trump needs to shut it down before it launches. The warning comes as concerns grow about what's next on the global agenda.

#infowars #trumpwon #maganews",success,2,2025-12-13T12:55:35.326764,2025-12-13T13:00:29.234555,,,,,
DRq5OjXEWxN-1,kingmakerpulse,chunk_01c\alexjones.tv\DRq5OjXEWxN-1.mp4,"A powerful defense of free speech from Charlie Kirk as he breaks down how Alex Jones faced censorship after calling out mainstream media dishonesty. @alexjones.tv continues to stand firm on exposing the truth, no matter the cost. December 17th, 2023 - a moment worth remembering.

#infowars #trumpwon #maganews",success,2,2025-12-13T15:48:33.639104,2025-12-13T15:53:12.429397,,0,,,
DRSvXffEU3i-2,itsunpluggedlife,chunk_01c\alexjones.tv\DRSvXffEU3i-2.mp4,"Alex Jones backs Trump's statement on how traitors have historically faced capital punishment under U.S. law - November 20th, 2025

Via @alexjones.tv

#infowars #trumpwon #maganews",success,0,2025-12-13T15:51:51.133059,2025-12-13T15:55:29.718968,,0,,,
DGA40Lev0Rs-2,ironwillascendant,chunk_01c\askvinh\DGA40Lev0Rs-2.mp4,"When someone dominates the conversation with stories about themselves, they're actually pushing people away. @askvinh breaks down why flipping the script—leading with genuine questions and curiosity—is what actually makes you magnetic in conversations. The trap? Thinking you need to impress people by talking more about yourself.

#communication #communicationskills #socialskills #confidence #selfimprovement #personaldevelopment #selfdevelopment #conversationskills #charisma",success,4,2025-12-13T15:52:30.003995,2025-12-13T15:56:04.485634,,0,,,
DF-UDC9NBGZ-1,inreallifemaxx,chunk_01c\askvinh\DF-UDC9NBGZ-1.mp4,"Want to level up how you communicate? @askvinh breaks down the essential moves that separate great speakers from everyone else.

His blueprint covers the fundamentals most people overlook: filming yourself to catch what you're actually projecting, syncing your vibe with whoever you're talking to, and mastering the art of strategic silence (yes, pauses are powerful when you know how to use them).

He also shares the FORD method for keeping conversations flowing naturally and reveals why dropping your pitch at the end of sentences instantly makes you sound more confident and commanding.

These aren't complex theories—just practical adjustments that actually work. Ready to transform how you show up in conversations? Drop MASTERCLASS in the comments to join his free training kicking off tomorrow.

#communicationskills #publicspeaking #socialskills #confidence #personaldevelopment #selfimprovement #communication #speakingtips #charisma",success,1,2025-12-13T15:53:06.107007,2025-12-13T15:55:13.639626,,0,,,
DJ_8G5XymVs-2,empirestrongofmind,chunk_01c\askvinh\DJ_8G5XymVs-2.mp4,"Communication happens whether you're aware of it or not—and @askvinh breaks down exactly how to master it. Every interaction is an opportunity to influence, connect, or persuade. He's offering a free training packed with frameworks that actually work. Drop 🍆 or eggplant in the comments to get access.

#communication #communicationskills #communicationtips #salestips #salestraining #influence #persuasion #charisma #selfimprovement #personaldevelopment #businesstips #entrepreneurship #socialskills #confidence",success,4,2025-12-13T13:00:33.794499,2025-12-13T13:03:57.520050,,,,,
DHTSO2qPvL4-2,crimsonlegionshort,chunk_01c\askvinh\DHTSO2qPvL4-2.mp4,"The secret to content that actually connects? It's all about ditching the ""written voice"" and embracing how you naturally speak. @askvinh breaks down why so many creators struggle to sound authentic—they're typing in essay format instead of conversation format. When you write the way you actually talk, rehearsing becomes effortless and your delivery feels genuine instead of robotic. This applies beyond content creation too—meetings, presentations, anywhere you need people to actually listen instead of zone out. The moment you sound like you're reading a script is the moment you lose your audience.

#contentcreation #contenttips #contentcreator #socialmediatips #videocontent #contentmarketing #creatoreconomy #digitalmarketing #socialmedia #contentstrategist",success,3,2025-12-13T15:55:40.253587,2025-12-13T15:59:59.379355,,0,,,
DNNvWXnRJ5E-1,bentzenithruler,chunk_01c\askvinh\DNNvWXnRJ5E-1.mp4,"@askvinh wrapped up his Melbourne STAGE workshop with this incredible energy ❤️

When you watch someone truly passionate about teaching communication, it shows in every moment. The final day always hits different.

#communicationskills #stageworkshop #publicspeaking #presentationskills #communicationcoach #leadershipdevelopment #professionaldevelopment #melbourne",success,4,2025-12-13T15:56:14.565178,2025-12-13T15:59:48.324871,,0,,,
DKyNHOZxMj2-2,tjmexicosfinest,chunk_01c\askvinh\DKyNHOZxMj2-2.mp4,"The difference between standing alone at a networking event and making valuable connections? It's all about preparation, says @askvinh. Having a concise self-intro ready means you're not scrambling when someone asks about you. But here's what most people get wrong: they think talking more = networking better. Actually, the real skill is active listening and knowing when to contribute versus when to let the conversation breathe. Courage gets you in the door, but strategic listening keeps you in the room.

#networking #networkingevents #networkingskills #professionaldevelopment #careerdevelopment #careeradvice #communication #communicationskills #socialskills #professionalgrowth #businessnetworking #networkingtips #careergoals #personaldevelopment",verification_pending,1,2025-12-13T21:11:44.292352,2025-12-13T21:14:45.093130,Account needs Instagram verification,3,,,
DK1-ho6vCyh-2,sammycakes4me,chunk_01c\askvinh\DK1-ho6vCyh-2.mp4,"Looking at this wholesome moment, it's clear that @askvinh has discovered something most parents overlook: the untapped power of simply humming.

While everyone's searching for the perfect lullaby playlist or white noise machine, he's mastered a 5-minute sleep technique using nothing but his voice — no words, no technology, just pure human connection.

What makes this work isn't perfection. It's presence. It's the willingness to use the one instrument we're all born with but rarely learn to play.

His baby girl doesn't need Grammy-level vocals. She needs the comfort that comes from her dad's sound, delivered with what he calls ""delusional level of vocal confidence.""

That's the real superpower — showing up fully, voice and all, in those quiet moments that matter most.

#DadLife #Parenting #Fatherhood #GirlDad #ParentingTips #DadTok #FatherDaughter #BabyGirl #ParentHack #Humming #VoiceHealing #MindfulParenting #ConnectionOverPerfection #NewDad #ParentingWin",verification_pending,3,2025-12-13T21:12:23.631368,2025-12-13T21:13:10.091129,Account needs Instagram verification,3,,,
DOBWH5Skb4b-2,rustywatermeal,chunk_01c\askvinh\DOBWH5Skb4b-2.mp4,"Most people want the extraordinary life but bail the moment they realize they have to suck first. @askvinh breaks down why being terrible at the beginning isn't a setback—it's literally the cost of admission. The winners? They pay that price upfront and take messy action anyway 👊

#success #motivation #mindset #entrepreneurship #personaldevelopment #growthmindset #successmindset #motivationalquotes #entrepreneur #selfimprovement",success,1,2025-12-13T21:16:19.120048,2025-12-13T21:18:45.845531,,2,,,
DMc-Yp3tY8r-1,RoughConcreteShifter,chunk_01c\askvinh\DMc-Yp3tY8r-1.mp4,"Speaking faster isn't always better—and @askvinh breaks down exactly why that matters.

Want people to actually absorb what you're saying? It's all about controlling your pace. Important points deserve slower delivery. Everything else can move quicker. That contrast is what creates vocal variety and helps your audience know what deserves their attention.

DM or comment DOAC for the full podcast conversation with @steven

#communicationskills #publicspeaking #speakingtips #communication #clarity #podcastclips #selfimprovement #personaldevelopment #speakingskills #effectivecommunication",success,3,2025-12-13T20:58:30.529908,2025-12-13T21:03:24.568020,,0,,,
DOFTKR7kvGv-1,reddyplayerwonton,chunk_01c\askvinh\DOFTKR7kvGv-1.mp4,"Knowledge without action is just entertainment. @askvinh breaks down why so many people stay stuck in learning mode instead of execution mode—and how to finally make the switch that changes everything.

#knowledge #learning #personaldevelopment #selfimprovement #productivity #motivation #mindset #success #growth #action #execution #personalgrowth #lifelessons #inspiration #motivational",success,4,2025-12-13T13:04:07.582178,2025-12-13T13:07:12.140317,,,,,
DQoq580lUNi-1,pinkmanmcpink,chunk_01c\askvinh\DQoq580lUNi-1.mp4,"The future won't belong to those who master AI—it'll belong to those who master people. @askvinh breaks down why communication and genuine connection are becoming the ultimate competitive advantage in an increasingly automated world. As machines handle more tasks, the human touch becomes rare, and rarity creates value. What's your take? Will we crave authentic human interaction more as technology advances, or will we retreat further into digital isolation?

#AI #HumanSkills #Communication #FutureOfWork #PeopleSkills #EmotionalIntelligence #Leadership #SocialSkills #Technology #CareerAdvice #PersonalDevelopment #HumanConnection #SoftSkills #Networking #ProfessionalGrowth",verification_pending,4,2025-12-13T21:13:18.216449,2025-12-13T21:14:06.483210,Account needs Instagram verification,3,,,
DHL4n_nJMYf-1,lucysplainyoself,chunk_01c\badfriendspod\DHL4n_nJMYf-1.mp4,"Bobby's holding nothing back when it comes to Shane 👀 @badfriendspod drops the full unfiltered convo on Patreon today, then hits all platforms Monday.

#BadFriends #BobbyLee #AndrewSantino #PodcastClips #Comedy #Funny #StandUpComedy",success,2,2025-12-13T20:59:58.822872,2025-12-13T21:05:30.095737,,0,,,
DG3fNL5SfUl-2,LoomedTwillHook,chunk_01c\badfriendspod\DG3fNL5SfUl-2.mp4,"Bobby Lee's got Hollywood gold with this pitch: a revenge thriller about tracking down his stepdad who happens to be part Bigfoot, part vampire 🎬 The Bad Friends duo strikes again with another unhinged movie concept that somehow makes perfect sense | 📍 @badfriendspod

#badfriends #bobbytaesoo #bobbylee #andrewsantino #podcast #comedy #moviepitch #funny #standup #comedypodcast #podcastclips",success,4,2025-12-13T16:08:06.837556,2025-12-13T16:12:06.614395,,0,,,
DHWMJQpyTlf-1,LockedVaultDuster,chunk_01c\badfriendspod\DHWMJQpyTlf-1.mp4,"Bobby Lee shares why Filipinos flock to Italy in this hilarious take from @badfriendspod that'll have you reconsidering every vacation stereotype you've ever heard 😂

#badfriends #bobbyleeandrewsantino #standup #standupcomedy #standup #comedy #funny #podcast",success,4,2025-12-13T21:00:28.470994,2025-12-13T21:05:16.131648,,0,,,
DJcFxw5J9I3-2,HollowedBoneVessels,chunk_01c\badfriendspod\DJcFxw5J9I3-2.mp4,"The Bad Friends podcast just hit a massive milestone – 2 million subscribers strong! 🎉 @badfriendspod continues to dominate with their unfiltered comedy and chaotic energy that keeps fans coming back for more.

#badfriends #badfriendspod #andrewsantino #bobbyleee #podcast #comedy #funny #standup #comedian #podcasting #podcastclips #comedypodcast #2million #milestone #celebration",success,1,2025-12-13T16:08:15.739154,2025-12-13T16:10:41.299909,,0,,,
DIjYKV5xQUg-2,FrozenGearSmoker,chunk_01c\badfriendspod\DIjYKV5xQUg-2.mp4,"Bobby Lee discovers his Muay Thai instructor has been holding back—turns out those ""sharp"" elbows were about as dangerous as pool noodles. @badfriendspod brings the training montage nobody asked for but everyone needed.

#badfriends #bobbyleeandrewsantino #andrewsantino #bobbylee #standup #standupcomedy #standupcmedian #funny #funnyvideos #funnyvideo #badfriendspod #podcast #podcastclips #comedy #comedyvideo #comedyvideos #comedypodcast",success,3,2025-12-13T16:28:27.031763,2025-12-13T16:32:46.322843,,2,,,
DJjzRdrprPc-2,filbertthesmasher,chunk_01c\badfriendspod\DJjzRdrprPc-2.mp4,"The squad gets an international update as Dax calls in straight from Japan 🇯🇵 via @badfriendspod

#badfriendspod #comedypodcast #andrewsantino #bobbyjlee #funnyclips #podcastclips #standupcomedy #podcast",success,0,2025-12-13T16:10:14.780558,2025-12-13T16:16:18.170604,,0,,,
DKcckA_xJH3-1,FallenBarkSwitch,chunk_01c\badfriendspod\DKcckA_xJH3-1.mp4,"A wild story straight from Francis Ford Coppola's set featuring Shia that @badfriendspod had to share with the world 🎬

#badfriends #badfriendspod #comedy #standup #podcast #funny #comedypodcast #viral",failed,0,2025-12-13T21:22:08.429349,2025-12-13T21:25:28.632024,Post returned False,3,,,
DKSKEjvRVGc-1,EmptyFuelMatrix,chunk_01c\badfriendspod\DKSKEjvRVGc-1.mp4,"The crew unleashed their latest chaos and @badfriendspod fans can catch all the unfiltered action exclusively on Patreon right now 🎭

#badfriends #podcast #comedy #standup #standupcomedy #comedypodcast #andrewsantino #bobbyleе #patreon",success,3,2025-12-13T16:14:12.226017,2025-12-13T16:16:41.049940,,0,,,
DK2NBfOR5N--2,daisochunks,chunk_01c\badfriendspod\DK2NBfOR5N--2.mp4,"The legend of the mysterious intern continues at Los Tito's 👀 @badfriendspod drops this one on Patreon today, everyone else waits till Monday 🔥

#badfriends #podcast #comedy #standupcomedy #andrewsantino #bobbyleee #funny #podcastclips #comedypodcast",success,4,2025-12-13T16:15:09.360653,2025-12-13T16:19:03.730056,,0,,,
DKm6fESS8_G-2,contibonit,chunk_01c\badfriendspod\DKm6fESS8_G-2.mp4,"Bobby Lee and Andrew Santino from @badfriendspod keep pushing boundaries with their comedy – and yes, they promise this bit is all about getting the laughs. Pride month energy at its finest. 🌈😂

#loveislove #happypride #badfriendspod #comedy #podcast #standupcomedy #comedyreels #funny #humor #lgbtq #pridecomedy #comedians",success,1,2025-12-13T16:16:22.506789,2025-12-13T16:21:31.935827,,0,,,
DOGw2mckQp5-2,ClosedCircuitMute,chunk_01c\badfriendspod\DOGw2mckQp5-2.mp4,"The community college hustle finally coming through for Harland 📚💡

When those random night courses actually become relevant in conversation... @badfriendspod captures the moment perfectly.

#badfriends #comedy #podcast #standup #funny #comedian #comedypodcast #podcastclips #andrewsantino #bobbyleee",success,0,2025-12-13T16:16:28.255552,2025-12-13T16:21:06.912515,,0,,,
DQ7MOnLkmzc-1,bondsgoldengun,chunk_01c\badfriendspod\DQ7MOnLkmzc-1.mp4,"Bobby landed a Braveheart reference that caught everyone off guard 😂 The timing was absolutely perfect and the delivery had the whole room dying

via @badfriendspod

#badfriends #bobbyleelive #andrewsantino #standup #podcast #comedypodcast #comedy #funny",success,2,2025-12-13T16:16:36.595346,2025-12-13T16:25:03.558272,,0,,,
DPEkgb6EdZH-1,blackietheblackest,chunk_01c\badfriendspod\DPEkgb6EdZH-1.mp4,"Bobby Lee and Andrew Santino aren't letting parenthood slow them down – fresh content just dropped on Patreon from @badfriendspod 🎯

#badfriends #podcast #comedy #standup #standupcomedy #funny #comedypodcast #bobbyleeandrewsantino #tigerbelly #andrewsantino #bobbylee #whiskeyginger",success,3,2025-12-13T16:16:51.111517,2025-12-13T16:21:45.897166,,0,,,
DRxLIlZiXOW-2,basilthymeoregano,chunk_01c\badfriendspod\DRxLIlZiXOW-2.mp4,"The crew can't stop roasting each other's features and honestly it's peak comedy 💀

🎙️ @badfriendspod

#badfriends #fatskinnyeyes #podcastclips #comedypodcast #andrewsantino #bobbyleee",success,3,2025-12-13T16:23:22.933963,2025-12-13T16:28:16.911600,,0,,,
C12ynVPuYwy-2,AgedWalnutThrones,chunk_01c\candaceshow\C12ynVPuYwy-2.mp4,"Tom's reaction says it all 😬

According to @candaceshow, this dating trend needs to end ASAP. When women start acting like this, it's a red flag nobody's talking about.

Watch Tom's face when she drops that line 💀

#candaceowens #datingadvice #dating #relationshipadvice #relationships #modernwomen #moderndating #datingtips #redflags #datingstandards",success,0,2025-12-13T16:23:41.394308,2025-12-13T16:28:37.413086,,0,,,
C3V_AEYun1y-2,speckles_is_here,chunk_01c\candaceshow\C3V_AEYun1y-2.mp4,"Candace Owen (@candaceshow) couldn't believe what she was seeing. 👀

#candaceowens #candace #politics #conservative #news #viral #trending #fyp #foryou #foryoupage",success,1,2025-12-13T16:25:02.524572,2025-12-13T16:30:03.069848,,0,,,
C2gA7IEu1fK-1,rushhourresponse,chunk_01c\candaceshow\C2gA7IEu1fK-1.mp4,"A powerful message from @candaceshow that's resonating across communities: the silencing needs to stop. When faith becomes controversial simply for existing, we've lost our way as a society. She's calling out the double standard—and people are listening.

#Faith #Christianity #FreeSpeech #ReligiousFreedom #SpeakUp #ChristianLife #StandStrong #BelieverLife #FaithOverFear #ChristianCommunity #TruthMatters",success,2,2025-12-13T16:25:13.625862,2025-12-13T16:31:01.694164,,0,,,
CkJMweCsjsg-1,redcarelesscrocs,chunk_01c\candaceshow\CkJMweCsjsg-1.mp4,"@candaceshow breaks down one of the wildest spending stories you'll hear today 💸

$11,000. Gone. And wait until you hear what it was for.

#CandaceOwens #Candace #PoliticalCommentary #ConservativeValues #CulturalCommentary #PodcastClips #ViralMoment #PoliticalDiscussion",success,4,2025-12-13T16:26:34.465342,2025-12-13T16:31:31.489221,,0,,,
CmFfrfzrOpF-1,ogtylerguy,chunk_01c\candaceshow\CmFfrfzrOpF-1.mp4,"@candaceshow pulled no punches in this one 🎯 When keeping it real goes right 💯

#CandaceOwens #Candace #Conservative #Politics #Truth #Viral #FYP #Conservative #Republican #Trump #MAGA #America #News #CandaceShow",retrying,0,2025-12-13T21:18:04.137132,2025-12-13T21:19:20.456823,Exception: Device 98.98.125.37:21446 never appeared in ADB devices list after 60s,2,,2025-12-13T21:24:20.456848,
CnheULJKQe8-1,milkyjersey.trainer,chunk_01c\candaceshow\CnheULJKQe8-1.mp4,"Candace isn't holding back on this one. When @candaceshow speaks, people listen—and this message hits different. 🎯

#candaceowens #candace #conservative #conservatives #trump #donaldtrump #maga #makeamericagreatagain #republican #republicans #gop #america #usa #politics #political #politicalnews #news #latestnews #currentevents #debate #viral #trending",success,0,2025-12-13T16:49:28.609547,2025-12-13T16:52:05.747943,,2,,,
Cpdi8FQOPOM-2,markatetwobananas,chunk_01c\candaceshow\Cpdi8FQOPOM-2.mp4,"Candace isn't holding back on this one 😬 @candaceshow calls it exactly what it is.

#candaceowens #candace #podcast #podcasts #podcastclips #interview",failed,4,2025-12-13T16:31:41.591217,2025-12-13T16:35:31.596269,sign up,1,,,loggedout
CqqcMF_usxf-1,marblebasecase,chunk_01c\candaceshow\CqqcMF_usxf-1.mp4,"The fashion icon energy is unmatched 👏 @candaceshow never misses when it comes to style

#CandaceOwens #Fashion #Style #Conservative #PoliticalCommentary #OOTD #FashionInspo #StyleIcon",success,3,2025-12-13T16:32:56.428976,2025-12-13T16:37:54.969029,,0,,,
