job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number
HyoIrktA0q1c-4.mp4_viral,dreaminspiredynamo,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\HyoIrktA0q1c-4.mp4,"When the universe speaks, I listen and get back to focusing on what matters.",success,1,2025-12-18T12:36:24.650178,2025-12-18T12:39:29.837053,,0,3,,,,
ZcKgvqfYcyUJ-2.mp4_viral,noellekellyinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\ZcKgvqfYcyUJ-2.mp4,Oopsie wisdom: Learn from others' blunders without the face-palm moments!,success,2,2025-12-18T12:36:33.019573,2025-12-18T12:42:04.995421,,0,3,,,,
u5AWOEywZpxw-1.mp4_viral,dailydoseofwisdoms,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\u5AWOEywZpxw-1.mp4,Blueprints for the bag. Risk is just another word for opportunity.,success,4,2025-12-18T12:40:23.278676,2025-12-18T12:43:01.443911,,1,3,2025-12-18T12:45:13.229864,,,
5RS46T1MTH5_-4.mp4_viral,epicenergypod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\5RS46T1MTH5_-4.mp4,"Navigating life's twists with my ride-or-die. Trust the process, twin.",success,2,2025-12-18T12:39:06.146985,2025-12-18T12:43:36.471399,,0,3,,,,
zm1YvyjPnSla-1.mp4_viral,mindsetmoxies,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\zm1YvyjPnSla-1.mp4,"Keep pushing forward. Success doesn't have a deadline, but giving up guarantees failure.",success,4,2025-12-18T12:39:12.199877,2025-12-18T12:42:53.448442,,0,3,,,,
S7lQAdp2ZIMU-3.mp4_viral,cheerfuelchannel,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\S7lQAdp2ZIMU-3.mp4,"When life gives you lemons, hire a hitman and start a hustle montage!",success,3,2025-12-18T12:39:17.523729,2025-12-18T12:43:36.685717,,0,3,,,,
VN30RP1oK_U3-1.mp4_viral,luckyinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\VN30RP1oK_U3-1.mp4,Stay focused while others waste time. Your ambition is your escape route.,success,0,2025-12-18T12:41:39.110576,2025-12-18T12:43:48.854429,,1,3,2025-12-18T12:46:29.065953,,,
xEflYgI6PGsa-1.mp4_viral,wordsofsuccessgrow,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\xEflYgI6PGsa-1.mp4,"Zero problems. When money talks, everyone listens. Welcome to my world.",success,3,2025-12-18T12:40:11.642814,2025-12-18T12:43:31.684580,,0,3,,,,
SLJ7TCunAiYY-3.mp4_viral,emeryhhallinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\SLJ7TCunAiYY-3.mp4,"Choose your squad wisely, or risk becoming a certified goofball catastrophe!",success,2,2025-12-18T12:42:15.024870,2025-12-18T12:46:45.121790,,0,3,,,,
8Q2WQeNwb_9p-1.mp4_viral,peptalkpirate,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\8Q2WQeNwb_9p-1.mp4,"Sure, and maybe unicorns will do my taxes while delivering free pizza.",success,4,2025-12-18T13:25:53.488733,2025-12-18T13:28:09.869359,,0,3,2025-12-18T12:50:21.450281,,,
PLdDwmzneiI5-4.mp4_viral,zahrafowlerinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\PLdDwmzneiI5-4.mp4,Dive into chaos like a feral raccoon cannonballing into a dumpster of pure madness,success,4,2025-12-18T12:43:11.478455,2025-12-18T12:48:05.846427,,0,3,,,,
01g-7f8-4_N4-4.mp4_viral,themotivationmischief,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\01g-7f8-4_N4-4.mp4,Ever wondered what big dreams look like before reality checks in?,success,3,2025-12-18T12:43:41.748359,2025-12-18T12:47:57.417539,,0,3,,,,
