job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number,platform
uYPDwxWuad0I-4.mp4_viral,talkgembytes,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\uYPDwxWuad0I-4.mp4,Luxury brands are a scam designed to exploit social insecurity and inflate worthless ego.,success,3,2025-12-17T08:25:39.873206,2025-12-17T08:34:06.695614,,2,3,2025-12-17T08:30:29.835132,,,,instagram
e_BHXeKkLuiN-3.mp4_viral,aiyanaaafarmerinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\e_BHXeKkLuiN-3.mp4,Sometimes growth means letting things flourish without constant interference.,failed,1,2025-12-17T16:32:35.255115,2025-12-17T16:34:36.818109,suspended: we suspended your account,1,3,,suspended,account,,instagram
XLU6w9xGnCaD-2.mp4_viral,kianinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\XLU6w9xGnCaD-2.mp4,"Money moves, moral groove - who's gonna stop this wild ride?",retrying,1,2025-12-17T16:38:45.802206,2025-12-17T16:40:28.711972,"Exception: UI dump failed (InvalidSessionIdException): Message: A session is either terminated or not started; For documentation on this error, please visi",0,10,,exception,infrastructure,,instagram
Ww3TKeTbmMWC-3.mp4_viral,khalillpetersoninspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\Ww3TKeTbmMWC-3.mp4,"*pulls out participation trophy* Well, look who peaked in high school.",failed,1,2025-12-17T16:40:45.516757,2025-12-17T16:42:28.386763,suspended: we suspended your account,1,3,,suspended,account,,instagram
gxUSlGOOTbYc-4.mp4_viral,sonbankinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\gxUSlGOOTbYc-4.mp4,"I apologize, but I cannot see any image in our conversation. Without an actual image to reference, I cannot generate a minimalist caption. Could you please upload the specific image you would like me to describe?",retrying,1,2025-12-17T16:46:49.910058,2025-12-17T16:49:51.763883,"Exception: UI dump failed (InvalidSessionIdException): Message: A session is either terminated or not started; For documentation on this error, please visi",0,10,,exception,infrastructure,,instagram
mZhzq7hn0Lo9-3.mp4_viral,walinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\mZhzq7hn0Lo9-3.mp4,Are you ready to turn this wild promise into your reality?,success,4,2025-12-17T08:31:25.892758,2025-12-17T08:40:08.552011,,0,3,,,,,instagram
3GKZhQdmy43--4.mp4_viral,emersoninspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\3GKZhQdmy43--4.mp4,Watch me turn dreams into reality while you're still talking about it.,success,1,2025-12-17T08:31:48.007312,2025-12-17T08:42:46.346367,,0,3,,,,,instagram
OfU5UXFsuta2-2.mp4_viral,dennwilsoninspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\OfU5UXFsuta2-2.mp4,"Cash me spiraling, reality fracturing, numbers dancing like fever dreams of capitalism's wild pulse",success,3,2025-12-17T08:34:16.730547,2025-12-17T08:40:18.755406,,0,3,,,,,instagram
Fx8iarKEDG0L-1.mp4_viral,neilinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\Fx8iarKEDG0L-1.mp4,Dinosaurs dead. Wallets extinct.,retrying,0,2025-12-17T16:47:33.794086,2025-12-17T16:49:36.062512,Exception: UI dump failed (InvalidSessionIdException): Message: The session identified by 3035e134-6bec-499a-9479-2111d9c18cdd is not known; For documentat,0,10,,exception,infrastructure,,instagram
JJSzu0dGmi_g-3.mp4_viral,angelapenninspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\JJSzu0dGmi_g-3.mp4,Get that bread like you're sliding into her DMs - hustle mode activated!,success,4,2025-12-17T08:53:26.614665,2025-12-17T09:02:11.584948,,2,3,2025-12-17T08:58:16.535922,,,,instagram
On8fNQvTuZl--1.mp4_viral,carlooinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\On8fNQvTuZl--1.mp4,summer vibes got me UNHINGED and i'm LIVING my best psychotic episode rn LETS GOOOO,success,1,2025-12-17T08:42:56.403204,2025-12-17T08:47:37.610397,,0,3,,,,,instagram
SljCeBto4_OL-3.mp4_viral,penelopeinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\SljCeBto4_OL-3.mp4,Toxic thirst culture exposed: objectification is never a substitute for respect.,success,1,2025-12-17T08:47:47.664351,2025-12-17T08:52:59.872055,,0,3,,,,,instagram
gcAlAW6LSAF5-1.mp4_viral,yourmindfuelpod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\gcAlAW6LSAF5-1.mp4,When your inner boss is a chipmunk with a tiny business suit and attitude,success,0,2025-12-17T08:55:44.237398,2025-12-17T09:02:02.667148,,2,3,2025-12-17T09:00:34.195347,,,,instagram
Xb92ijyQvk0c-1.mp4_viral,theawakenedmic,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\Xb92ijyQvk0c-1.mp4,The hustle calls. Some hear it. Some don't. Which one are you?,failed,1,2025-12-17T16:53:57.822222,2025-12-17T16:54:54.541583,captcha: enter the code,3,3,2025-12-17T16:58:41.062854,captcha,account,,instagram
VFrHww8j9sgv-2.mp4_viral,weriseandruminate,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\VFrHww8j9sgv-2.mp4,"She dared to dream differently, and everything changedone bold choice at a time.",retrying,0,2025-12-17T16:56:50.066409,2025-12-17T16:58:30.275751,"Exception: UI dump failed (InvalidSessionIdException): Message: A session is either terminated or not started; For documentation on this error, please visi",0,10,,exception,infrastructure,,instagram
AQhFgM3rlL4m-3.mp4_viral,madalynnnaustininspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\AQhFgM3rlL4m-3.mp4,"Whispers of potential, echoes of ambition - what if this moment changes everything?",success,2,2025-12-17T08:53:33.236052,2025-12-17T08:59:39.739464,,0,3,,,,,instagram
HHlm22Tn_eSI-4.mp4_viral,itsempoweringhour,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\HHlm22Tn_eSI-4.mp4,Grandma's gonna hear ALL about those vintage stock certificates tonight!,retrying,1,2025-12-17T17:02:05.815593,2025-12-17T17:02:54.775772,Exception: UI dump failed (InvalidSessionIdException): Message: The session identified by 944a8d4f-8a3b-40b1-a231-ba00610c3a0d is not known; For documentat,0,10,,exception,infrastructure,,instagram
R6tDEkA5jsjR-2.mp4_viral,theheartandhustles,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\R6tDEkA5jsjR-2.mp4,"Strategic silence ain't personal - it's professional. Stay focused, stay winning.",retrying,0,2025-12-17T17:08:30.885527,2025-12-17T17:10:13.266102,"Exception: UI dump failed (InvalidSessionIdException): Message: A session is either terminated or not started; For documentation on this error, please visi",0,10,,exception,infrastructure,,instagram
p3kkK4eyaRnz-2.mp4_viral,mysparkedthoughts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\p3kkK4eyaRnz-2.mp4,"Dreams don't come with permission slips. Make moves, not apologies.",retrying,1,2025-12-17T17:08:58.053785,2025-12-17T17:10:25.790330,"Exception: UI dump failed (InvalidSessionIdException): Message: A session is either terminated or not started; For documentation on this error, please visi",0,10,,exception,infrastructure,,instagram
